Usecase,Agent,Run,Score,Outcome,Comment,Model
Candidate–Role Rematching,Codex,1,0.5,Scored,Replay clean; end state verified.,Not recorded
Candidate–Role Rematching,Brackett,1,1.0,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Candidate–Role Rematching,Brackett,2,1.0,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Candidate–Role Rematching,Brackett,3,0.997,Scored,Third set: overview selection. graded by Claude Sonnet 4.6 (noncanonical); imported grade.,Fused/multiple models
Candidate–Role Rematching,Claude,1,NA,Refusal,refusal after browser exploration,Sonnet 5
Candidate–Role Rematching,Claude,2,NA,Refusal,refusal after browser exploration,Sonnet 5
Credit Release Queue,Codex,1,0.36,Scored,"11 of 12 sheet cells; one burst lost to a transient pid lookup, fixed after this run.",Not recorded
Credit Release Queue,Brackett,1,1.0,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Credit Release Queue,Brackett,2,1.0,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Credit Release Queue,Brackett,3,1.0,Scored,Third set: overview selection. graded by Claude Sonnet 4.6 (noncanonical); imported grade.,Fused/multiple models
Credit Release Queue,Claude,1,NA,Empty shortcut,empty shortcut no quiz,Sonnet 5
Credit Release Queue,Claude,2,0.8667,Scored,substantive answer after browser exploration,Sonnet 5
Customer Returns Inbox Triage,Codex,1,0.6364,Scored,Untainted rerun; earlier 93.64% discarded because Codex read quiz/questions.json. 0 skips; 3 emails verified.,Not recorded
Customer Returns Inbox Triage,Brackett,1,0.7348,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Customer Returns Inbox Triage,Brackett,2,0.8255,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Customer Returns Inbox Triage,Brackett,3,0.9045,Scored,Third set: overview selection. graded by Claude Sonnet 4.6 (noncanonical); imported grade.,Fused/multiple models
Customer Returns Inbox Triage,Claude,1,NA,Empty shortcut,empty shortcut no quiz,Sonnet 5
Customer Returns Inbox Triage,Claude,2,NA,Empty shortcut,empty shortcut no quiz,Sonnet 5
Discount Request Review,Codex,1,0.755,Scored,Regrade of the quiz re-asked in the same chat; the run's own first answer was 0.50%. Workbook verified.,Not recorded
Discount Request Review,Brackett,1,0.8037,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Discount Request Review,Brackett,2,0.805,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Discount Request Review,Brackett,3,0.897,Scored,Third set: overview selection. graded by Claude Sonnet 4.6 (noncanonical); imported grade.,Fused/multiple models
Discount Request Review,Claude,1,NA,Empty shortcut,empty shortcut no quiz,Sonnet 5
Discount Request Review,Claude,2,NA,Empty shortcut,empty shortcut no quiz,Sonnet 5
Job Offer Follow-Up,Codex,1,0.45299999999999996,Scored,Email and comment verified. Recipient graded wrong: fixture candidate domain differs from the recording.,Not recorded
Job Offer Follow-Up,Brackett,1,0.94,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Job Offer Follow-Up,Brackett,2,0.41,Scored,Accepted selected run. Manual grade; not canonical/verified.,Fused/multiple models
Job Offer Follow-Up,Brackett,3,0.545,Scored,Third set: overview selection. graded by Claude Sonnet 4.6 (noncanonical); imported grade.,Fused/multiple models
Job Offer Follow-Up,Claude,1,0.6054,Scored,substantive answer after live browsing,Sonnet 5
Job Offer Follow-Up,Claude,2,NA,Refusal,refusal,Sonnet 5
Job Requisition Broadcast,Codex,1,0.625,Scored,Email matches the recording exactly. One exact miss is a timezone rendering difference.,Not recorded
